Precinct,"Address (street, city, state, zip)",Latitude,Longitude,GeocodeSource
INTERGRAPH CORP_,"245 Business Park Blvd, Madison, AL 3575836 ",34.67238776962898,-86.73766773069264,Nominatim
JACKSON WAY BAPT CH,"1001 Andrew Jackson Way NE, Huntsville, AL 35801",34.74447239969994,-86.57666020583108,Nominatim
LAKEWOOD COMM_ CTR_,"3601 NW Kenwood Dr, Huntsville, AL 35810",34.7734158,-86.5900104,Google
LEWIS CHAPEL C_ P_ CH,"5001 Pulaski Pike NW, Huntsville, AL 35810",34.80620873266428,-86.6270196114253,Nominatim
LINCOLN CH OF CHRIST,"1307 Meridian St N, Huntsville, AL 35801",34.73825799777905,-86.5859305400922,Nominatim
LITTLE INDIAN CREEK,"884 Indian Creek Rd NW, Huntsville, AL 35806",34.7649364126517,-86.68760375883755,Nominatim
LOCUST GROVE BAPT CH,"171 County Lake Rd, New Market, AL 35761",34.8440213,-86.4581693,Google
MADISON BAPT CH,"840 Balch Rd, Madison, AL 35758",34.73868415,-86.76989818527986,Nominatim
MADISON CITY HALL,"100 Hughes Rd, Madison, AL 35758",34.7009668,-86.74303125973368,Nominatim
MADISON MISSION 7TH DAY,"183 Shelton Rd, Madison, AL 35758",34.70312290620442,-86.72440722401933,Nominatim
MADISON PUBLIC LIBRARY,"142 Plaza Blvd, Madison, AL 35758",34.7108129,-86.74412834959311,Nominatim
MARK RUSSELL REC CTR,"429 Taylor Rd, Owens Cross Roads, AL 35763",34.6485911,-86.4829116,Google
MARY KELLY JOHNSTON GYM,"145 Caty Humma Ln, Meridianville, AL 35759",34.8496009,-86.5700197,Google
MAYSVILLE CH CHRIST,"3017 Gurley Pike, Gurley, AL 35748",34.74323703043666,-86.37208864966134,Nominatim
MERDIANVILLE CH CHRIST,"12228 US-231, Meridianville, AL 35759",34.8688468,-86.5703711,Google
MONROVIA CH CHRIST,"595 Nance Rd, Madison, AL 35757",34.77255898305375,-86.7317542351948,Nominatim
MONROVIA COMM_ CTR_,"254 Allen Drake Dr, Huntsville, AL 35806",34.8111131,-86.71614305476487,Nominatim
MONTE SANO UMC,"601 SE Monte Sano Blvd, Huntsville, AL 35801",34.71167404222912,-86.53437206337355,Nominatim
MOVEMENT CH,"1469 Browns Ferry Rd, Madison, AL 35758",34.7220843097565,-86.77825515472917,Nominatim
MT_ ZION BAPT CH,"228 Mt Zion Rd, Huntsville, AL 35806",34.7857002,-86.7196788,Google
NEW HOPE CITY HALL,"5484 Main Dr, New Hope, AL 35760",34.54337517176778,-86.4173780004979,Nominatim
NEW MARKET REC CTR,"447 Hurricane Rd, New Market, AL 35761",34.90868318647996,-86.43262945144801,Nominatim
OAKWOOD UNIVERSITY CH,"5500 Adventist Blvd NW, Huntsville, AL 35896",34.75307515,-86.65083647355769,Nominatim
OPTIMIST PARK REC CTR_,"703 Oakwood Ave NE, Huntsville, AL 35811",34.749074870843714,-86.57587599896048,Nominatim
OWENS CROSS ROADS CH,"124 Eastwood Drive, Owens Cross Roads, AL, 35763",34.61447381156226,-86.45359392512223,Nominatim
OWENS CROSS ROADS,"9032 Hwy 431 South, Owens Cross Roads, AL, 35763",34.5881461,-86.4588768,Google
PINE GROVE BAPT CH,"759 Pine Grove Rd UNIT A, Harvest, AL 35749",34.794924,-86.7652667,Google
PINEVIEW BAPT CH,"5614 AL-53, Harvest, AL 35749",34.8389531,-86.7038496,Google
PLAINVIEW CH CHRIST,"14500 US-231, Hazel Green, AL 35750",34.90173805923536,-86.57152098743781,Nominatim
PLEVNA/NEW MARKET FIRE DEPT,"125 Old Winchester Road, New Market, 35761",34.9618639,-86.41538369999999,Google
PROVIDENCE BAPT CH,"1355 Douglass Rd NW, Huntsville, AL 35806",34.800858154366615,-86.68137341264382,Nominatim
RESTORATION CH,"1500 Stevens Ave NE, Huntsville, AL 35801",34.7445679,-86.56739957222007,Nominatim
SHERWOOD BAPT CH,"6600 Old Madison Pike, Huntsville, AL 35806",34.7134544218954,-86.68661790831179,Nominatim
SOUTHWOOD PRESBYTERIAN,"1000 Carl T Jones Dr SE, Huntsville, AL 35802",34.68403127298147,-86.55507797999601,Nominatim
ST_ JOHNS CATHOLIC CH,"1055 Hughes Rd, Madison, AL 35758",34.7327764,-86.73870756927181,Nominatim
ST_ LUKE CHRISTIAN CH,"1800 Sparkman Dr NW, Huntsville, AL 35816",34.73559496859731,-86.64385208900534,Nominatim
ST_ MATTHEW PB CHURCH,"3200 Sparkman Dr NW, Huntsville, AL 35810",34.76348864064805,-86.60642582491478,Nominatim
ST_ PAUL'S UMC,"3250 Dunn St SW, Huntsville, AL 35805",34.709195906380785,-86.61078593802715,Nominatim
THE WHITESBURG CTR_,"5000 Whitesburg Dr, Huntsville, AL 35802",34.6902449,-86.5692256,Nominatim
TONEY UMC,"5465 Old Railroad Bed Rd, Toney, AL 35773",34.89035105,-86.73553468061945,Nominatim
TRIANA CITY HALL,"640 6th St, Madison, AL 35756",34.58336165,-86.73372099946764,Nominatim
TRINITY UMC,"607 Airport Rd SW, Huntsville, AL 3580225",34.69128104567913,-86.5712216520413,Nominatim
UNIVERSITY BAPT CH,"809 Jordan Ln NW, Huntsville, AL 35816",34.74628908127671,-86.63204660603859,Nominatim
W HUNTSVILLE CH CHRIST,"1519 Old Monrovia Rd NW, Huntsville, AL 35806",34.75979794505921,-86.69239465385363,Nominatim
WALL HWY BAPT CH,"6597 Wall Triana Hwy, Madison, AL 35757",34.774854,-86.7484536,Nominatim
WEATHERLY HGTS BAPT,"1306 Cannstatt Dr SE, Huntsville, AL 35803",34.64408052357455,-86.54722837889507,Nominatim
WEST HUNTSVILLE BAPT,"2211 SW Triana Blvd, Huntsville, AL 35805",34.71034448757905,-86.60934700869551,Nominatim
WESTSIDE COMM_ CTR_,"125 Earl St SW, Huntsville, AL 35805",34.721601693341746,-86.60244969379926,Nominatim
WILLOWBROOK BAPT CH,"7625 Bailey Cove Rd SE, Huntsville, AL 35802",34.66476247168473,-86.53936520771498,Nominatim
